latitude, longitude, provider, output
 47.71, 40.21 ,photon,frame
 56.85, 41.39 ,photon,frame
 54.01, 37.52 ,photon,frame
 55.93, 37.97 ,photon,frame
 61.81, 50.73 ,photon,frame
 55.79, 38.45 ,photon,frame
 46.31, 44.26 ,photon,frame
 51.48, 46.11 ,photon,frame
 46.95, 142.74 ,photon,frame
 62.03, 129.73 ,photon,frame
 57.63, 39.87 ,photon,frame
 55.07, 32.7 ,photon,frame
